Confirmed_Date,Day,New_Case,Total_Case
24/01/2020,1,3,3
25/01/2020,2,1,4
26/01/2020,3,0,4
27/01/2020,4,0,4
28/01/2020,5,3,7
29/01/2020,6,0,7
30/01/2020,7,1,8
31/01/2020,8,0,8
01/02/2020,9,0,8
02/02/2020,10,0,8
03/02/2020,11,1,9
04/02/2020,12,1,10
05/02/2020,13,2,12
06/02/2020,14,2,14
07/02/2020,15,1,15
08/02/2020,16,1,16
09/02/2020,17,1,17
10/02/2020,18,1,18
11/02/2020,19,0,18
12/02/2020,20,0,18
13/02/2020,21,1,19
14/02/2020,22,2,21
15/02/2020,23,1,22
16/02/2020,24,0,22
17/02/2020,25,0,22
18/02/2020,26,0,22
19/02/2020,27,0,22
20/02/2020,28,0,22
21/02/2020,29,0,22
22/02/2020,30,0,22
23/02/2020,31,0,22
24/02/2020,32,0,22
25/02/2020,33,0,22
26/02/2020,34,0,22
27/02/2020,35,2,24
28/02/2020,36,3,27
29/02/2020,37,2,29
01/03/2020,38,0,29
02/03/2020,39,6,35
03/03/2020,40,4,39
04/03/2020,41,17,56
05/03/2020,42,3,59
06/03/2020,43,26,85
07/03/2020,44,8,93
08/03/2020,45,7,100
09/03/2020,46,17,117
10/03/2020,47,12,129
11/03/2020,48,20,149
12/03/2020,49,9,158
13/03/2020,50,42,200
14/03/2020,51,40,240
15/03/2020,52,188,428
16/03/2020,53,125,553
17/03/2020,54,120,673
18/03/2020,55,117,790
