Day,Date,New_Case,Total_Case,misc
Friday,24/01/2020,3,3,
Saturday,25/01/2020,1,4,
Sunday,26/01/2020,0,4,
Monday,27/01/2020,0,4,
Tuesday,28/01/2020,3,7,
Wednesday,29/01/2020,0,7,
Thursday,30/01/2020,1,8,
Friday,31/01/2020,0,8,
Saturday,01/02/2020,0,8,
Sunday,02/02/2020,0,8,
Monday,03/02/2020,1,9,
Tuesday,04/02/2020,1,10,1st_malaysian
Wednesday,05/02/2020,2,12,
Thursday,06/02/2020,2,14,1st_local_transmission
Friday,07/02/2020,1,15,
Saturday,08/02/2020,1,16,
Sunday,09/02/2020,1,17,
Monday,10/02/2020,1,18,
Tuesday,11/02/2020,0,18,
Wednesday,12/02/2020,0,18,
Thursday,13/02/2020,1,19,
Friday,14/02/2020,2,21,
Saturday,15/02/2020,1,22,
Sunday,16/02/2020,0,22,
Monday,17/02/2020,0,22,
Tuesday,18/02/2020,0,22,
Wednesday,19/02/2020,0,22,
Thursday,20/02/2020,0,22,
Friday,21/02/2020,0,22,
Saturday,22/02/2020,0,22,
Sunday,23/02/2020,0,22,
Monday,24/02/2020,0,22,
Tuesday,25/02/2020,0,22,
Wednesday,26/02/2020,0,22,
Thursday,27/02/2020,4,26,
Friday,28/02/2020,1,27,
Saturday,29/02/2020,2,29,
Sunday,01/03/2020,0,29,
Monday,02/03/2020,6,35,
Tuesday,03/03/2020,4,39,
Wednesday,04/03/2020,17,56,
Thursday,05/03/2020,3,59,
Friday,06/03/2020,26,85,
Saturday,07/03/2020,8,93,
Sunday,08/03/2020,7,100,
Monday,09/03/2020,17,117,
Tuesday,10/03/2020,12,129,
Wednesday,11/03/2020,20,149,
Thursday,12/03/2020,9,158,
Friday,13/03/2020,42,200,
Saturday,14/03/2020,40,240,
Sunday,15/03/2020,188,428,
Monday,16/03/2020,125,553,
Tuesday,17/03/2020,120,673,
Wednesday,18/03/2020,117,790,MCO
Thursday,19/03/2020,110,900,
Friday,20/03/2020,130,1030,
Saturday,21/03/2020,153,1183,
Sunday,22/03/2020,123,1306,
Monday,23/03/2020,212,1518,
Tuesday,24/03/2020,106,1624,
Wednesday,25/03/2020,172,1796,
Thursday,26/03/2020,235,2031,
Friday,27/03/2020,130,2161,
Saturday,28/03/2020,159,2320,
Sunday,29/03/2020,150,2470,
Monday,30/03/2020,156,2626,
Tuesday,31/03/2020,140,2766,
Wednesday,01/04/2020,142,2908,
