State,Date,Day,New_Case,Total_Case
Perlis,17/03/2020,Tuesday,0,8
Kedah,17/03/2020,Tuesday,0,31
PPinang,17/03/2020,Tuesday,8,23
Perak,17/03/2020,Tuesday,5,23
Selangor,17/03/2020,Tuesday,17,161
NSembilan,17/03/2020,Tuesday,3,45
Melaka,17/03/2020,Tuesday,3,17
Johor,17/03/2020,Tuesday,25,77
Pahang,17/03/2020,Tuesday,9,28
Terengganu,17/03/2020,Tuesday,3,7
Kelantan,17/03/2020,Tuesday,7,25
Sabah,17/03/2020,Tuesday,25,82
Sarawak,17/03/2020,Tuesday,8,29
WPKL,17/03/2020,Tuesday,7,113
WPP,17/03/2020,Tuesday,,
WPL,17/03/2020,Tuesday,0,4
Perlis,18/03/2020,Wednesday,0,8
Kedah,18/03/2020,Wednesday,5,36
PPinang,18/03/2020,Wednesday,7,30
Perak,18/03/2020,Wednesday,5,28
Selangor,18/03/2020,Wednesday,31,192
NSembilan,18/03/2020,Wednesday,0,45
Melaka,18/03/2020,Wednesday,1,18
Johor,18/03/2020,Wednesday,11,88
Pahang,18/03/2020,Wednesday,1,29
Terengganu,18/03/2020,Wednesday,3,10
Kelantan,18/03/2020,Wednesday,5,30
Sabah,18/03/2020,Wednesday,21,103
Sarawak,18/03/2020,Wednesday,20,49
WPKL,18/03/2020,Wednesday,6,119
WPP,18/03/2020,Wednesday,,
WPL,18/03/2020,Wednesday,1,5
Perlis,19/03/2020,Thursday,1,9
Kedah,19/03/2020,Thursday,4,40
PPinang,19/03/2020,Thursday,2,32
Perak,19/03/2020,Thursday,7,35
Selangor,19/03/2020,Thursday,31,223
NSembilan,19/03/2020,Thursday,11,56
Melaka,19/03/2020,Thursday,2,20
Johor,19/03/2020,Thursday,13,101
Pahang,19/03/2020,Thursday,3,32
Terengganu,19/03/2020,Thursday,1,11
Kelantan,19/03/2020,Thursday,14,44
Sabah,19/03/2020,Thursday,9,112
Sarawak,19/03/2020,Thursday,2,51
WPKL,19/03/2020,Thursday,4,123
WPP,19/03/2020,Thursday,6,6
WPL,19/03/2020,Thursday,0,5
Perlis,20/03/2020,Friday,0,9
Kedah,20/03/2020,Friday,1,41
PPinang,20/03/2020,Friday,5,37
Perak,20/03/2020,Friday,10,45
Selangor,20/03/2020,Friday,40,263
NSembilan,20/03/2020,Friday,9,65
Melaka,20/03/2020,Friday,2,22
Johor,20/03/2020,Friday,13,114
Pahang,20/03/2020,Friday,4,36
Terengganu,20/03/2020,Friday,9,20
Kelantan,20/03/2020,Friday,7,51
Sabah,20/03/2020,Friday,7,119
Sarawak,20/03/2020,Friday,7,58
WPKL,20/03/2020,Friday,16,139
WPP,20/03/2020,Friday,0,6
WPL,20/03/2020,Friday,0,5
Perlis,21/03/2020,Saturday,0,9
Kedah,21/03/2020,Saturday,6,47
PPinang,21/03/2020,Saturday,13,50
Perak,21/03/2020,Saturday,10,55
Selangor,21/03/2020,Saturday,29,292
NSembilan,21/03/2020,Saturday,5,70
Melaka,21/03/2020,Saturday,0,22
Johor,21/03/2020,Saturday,15,129
Pahang,21/03/2020,Saturday,1,37
Terengganu,21/03/2020,Saturday,7,27
Kelantan,21/03/2020,Saturday,10,61
Sabah,21/03/2020,Saturday,17,136
Sarawak,21/03/2020,Saturday,10,68
WPKL,21/03/2020,Saturday,27,166
WPP,21/03/2020,Saturday,3,9
WPL,21/03/2020,Saturday,0,5
Perlis,22/03/2020,Sunday,0,9
Kedah,22/03/2020,Sunday,5,52
PPinang,22/03/2020,Sunday,8,58
Perak,22/03/2020,Sunday,11,66
Selangor,22/03/2020,Sunday,17,309
NSembilan,22/03/2020,Sunday,8,78
Melaka,22/03/2020,Sunday,1,23
Johor,22/03/2020,Sunday,16,145
Pahang,22/03/2020,Sunday,3,40
Terengganu,22/03/2020,Sunday,5,32
Kelantan,22/03/2020,Sunday,2,63
Sabah,22/03/2020,Sunday,22,158
Sarawak,22/03/2020,Sunday,8,76
WPKL,22/03/2020,Sunday,17,183
WPP,22/03/2020,Sunday,0,9
WPL,22/03/2020,Sunday,0,5
Perlis,23/03/2020,Monday,0,9
Kedah,23/03/2020,Monday,7,59
PPinang,23/03/2020,Monday,8,66
Perak,23/03/2020,Monday,15,81
Selangor,23/03/2020,Monday,45,354
NSembilan,23/03/2020,Monday,16,94
Melaka,23/03/2020,Monday,2,25
Johor,23/03/2020,Monday,13,158
Pahang,23/03/2020,Monday,16,56
Terengganu,23/03/2020,Monday,6,38
Kelantan,23/03/2020,Monday,8,71
Sabah,23/03/2020,Monday,11,169
Sarawak,23/03/2020,Monday,2,78
WPKL,23/03/2020,Monday,59,242
WPP,23/03/2020,Monday,4,13
WPL,23/03/2020,Monday,0,5
Perlis,24/03/2020,Tuesday,0,9
Kedah,24/03/2020,Tuesday,5,64
PPinang,24/03/2020,Tuesday,2,68
Perak,24/03/2020,Tuesday,17,98
Selangor,24/03/2020,Tuesday,27,381
NSembilan,24/03/2020,Tuesday,15,109
Melaka,24/03/2020,Tuesday,6,31
Johor,24/03/2020,Tuesday,4,162
Pahang,24/03/2020,Tuesday,0,56
Terengganu,24/03/2020,Tuesday,0,38
Kelantan,24/03/2020,Tuesday,7,78
Sabah,24/03/2020,Tuesday,1,170
Sarawak,24/03/2020,Tuesday,5,83
WPKL,24/03/2020,Tuesday,15,257
WPP,24/03/2020,Tuesday,2,15
WPL,24/03/2020,Tuesday,0,5
